rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.98,0.23,93.72
2,3,Barcelona,Spanish Primera Division,3.16,0.39,92.6
3,2,Bayern Munich,German Bundesliga,3.03,0.38,91.91
4,4,Real Madrid,Spanish Primera Division,3.05,0.39,91.89
5,5,Liverpool,Barclays Premier League,2.74,0.33,90.64
6,6,Juventus,Italy Serie A,2.64,0.32,90.11
7,7,Paris Saint-Germain,French Ligue 1,3.02,0.5,90.04
8,8,Atletico Madrid,Spanish Primera Division,2.24,0.28,87.25
9,9,Chelsea,Barclays Premier League,2.47,0.47,85.84
10,10,Tottenham Hotspur,Barclays Premier League,2.44,0.52,84.5
11,11,Napoli,Italy Serie A,2.29,0.45,84.24
12,16,Borussia Dortmund,German Bundesliga,2.41,0.65,81.46
13,12,Sevilla FC,Spanish Primera Division,2.41,0.66,81.34
14,15,Internazionale,Italy Serie A,2.23,0.55,81.31
15,14,Arsenal,Barclays Premier League,2.53,0.76,80.9
16,17,Valencia,Spanish Primera Division,2.06,0.5,80.05
17,13,Manchester United,Barclays Premier League,2.21,0.61,79.78
18,20,Ajax,Dutch Eredivisie,2.5,0.81,79.43
19,23,AS Roma,Italy Serie A,2.3,0.7,79.17
20,22,Young Boys,Swiss Raiffeisen Super League,2.69,1.0,78.22
21,18,FC Porto,Portuguese Liga,2.22,0.69,78.13
22,19,PSV,Dutch Eredivisie,2.68,1.02,77.79
23,33,FC Salzburg,Austrian T-Mobile Bundesliga,2.5,0.9,77.69
24,25,AC Milan,Italy Serie A,2.14,0.66,77.67
25,27,Getafe,Spanish Primera Division,1.83,0.47,77.39
26,26,Real Betis,Spanish Primera Division,1.88,0.5,77.38
27,28,Espanyol,Spanish Primera Division,1.87,0.53,76.51
28,24,Lyon,French Ligue 1,2.12,0.71,76.32
29,29,Villarreal,Spanish Primera Division,2.03,0.68,75.71
30,21,Lazio,Italy Serie A,2.2,0.79,75.7
31,32,Benfica,Portuguese Liga,2.1,0.72,75.69
32,35,PAOK Salonika,Greek Super League,2.06,0.69,75.68
33,30,Real Sociedad,Spanish Primera Division,2.06,0.7,75.41
34,34,Shakhtar Donetsk,UEFA Champions League,2.23,0.84,74.96
35,41,Club Brugge,Belgian Jupiler League,2.39,0.96,74.86
36,31,Eibar,Spanish Primera Division,1.82,0.58,74.58
37,37,Atalanta,Italy Serie A,2.01,0.71,74.47
38,40,CSKA Moscow,Russian Premier Liga,1.85,0.61,74.23
39,49,RB Leipzig,German Bundesliga,2.23,0.9,73.75
40,38,Dynamo Kiev,UEFA Europa League,2.08,0.81,73.46
41,43,Fiorentina,Italy Serie A,1.94,0.72,73.19
42,44,Athletic Bilbao,Spanish Primera Division,1.96,0.73,73.19
43,39,Bayer Leverkusen,German Bundesliga,2.22,0.94,72.64
44,51,Leicester City,Barclays Premier League,1.96,0.76,72.61
45,55,FC Krasnodar,Russian Premier Liga,1.89,0.72,72.3
46,47,Girona FC,Spanish Primera Division,1.92,0.74,72.27
47,45,TSG Hoffenheim,German Bundesliga,2.13,0.92,71.6
48,46,Celta Vigo,Spanish Primera Division,2.06,0.88,71.51
49,48,Leganes,Spanish Primera Division,1.81,0.7,71.25
50,42,Marseille,French Ligue 1,2.03,0.87,71.09
51,50,Alavés,Spanish Primera Division,1.82,0.73,70.76
52,54,Schalke 04,German Bundesliga,1.81,0.73,70.44
53,53,Galatasaray,Turkish Turkcell Super Lig,2.12,0.97,70.41
